timestamp,item_id,value,value__c3__lag_2,value__c3__lag_1
2025-01-01,A,7.950424593862227,237585.852199,237785.863921
2025-01-02,A,-0.5801902343848448,237585.852199,237785.863921
2025-01-03,A,5.2116143110797735,237585.852199,237785.863921
2025-01-04,A,8.124528347702583,237585.852199,237785.863921
2025-01-05,A,5.098601340201811,237585.852199,237785.863921
2025-01-06,A,6.544037304605505,90.205567,109.589168
2025-01-07,A,14.925788926850196,182.880062,240.100516
2025-01-08,A,6.600648521969337,373.772666,407.42156
2025-01-09,A,22.57296112269768,1034.377533,909.421825
2025-01-10,A,7.995006155522418,1031.580184,1139.458564
2025-01-11,A,22.841965227059053,4020.620639,2045.535061
2025-01-12,A,23.54152168909969,4469.118179,2959.153507
2025-01-13,A,21.08256459446639,6056.368171,5237.388328
2025-01-14,A,28.35415208549485,8103.531775,8457.734347
2025-01-15,A,28.667266955809566,9570.940695,11711.323598
2025-01-16,A,29.18266676591453,16642.321219,16566.706574
2025-01-17,A,40.46548061373088,21967.966993,22195.727138
2025-01-18,A,28.810295977932185,24147.790034,27183.026958
2025-01-19,A,30.93834676924713,29864.314867,31916.014829
2025-01-20,A,36.60838514467705,33334.234589,34143.490251
2025-01-21,A,41.56302881566644,41406.562862,37448.865362
2025-01-22,A,39.10227321505226,46637.659443,43817.48159
2025-01-23,A,47.46908380168979,51140.595991,54087.121069
2025-01-24,A,52.34116887782476,67982.477988,70217.71794
2025-01-25,A,45.27279476110844,82123.116344,86570.169134
2025-01-26,A,50.122584843290745,95952.593442,101389.108382
2025-01-27,A,55.91987267278175,111379.43915,113825.510844
2025-01-28,A,58.6755005267142,137054.372258,130651.893252
2025-01-29,A,60.08065519673326,153018.4078,151813.897921
2025-01-30,A,62.55150736309147,168032.545918,177248.511309
2025-01-31,A,52.354076900035295,179928.046885,194713.743723
2025-02-01,A,66.21389389908295,209457.538031,207808.860536
2025-02-02,A,77.86832787895543,243976.611467,226009.75243
2025-02-03,A,63.6691210265647,254317.847407,252951.074465
2025-02-04,A,66.38367475896148,267165.68431,286042.023435
2025-02-05,A,70.10489539333182,283087.397007,305908.437399
2025-02-06,A,85.8518953279593,369665.619877,338309.316968
2025-02-07,A,68.75279921819522,375331.843491,359689.928805
2025-02-08,A,84.1910154167856,393348.861029,401646.140954
2025-02-09,A,84.28176288438942,443024.377635,449533.438973
2025-02-10,A,82.07080431583313,499717.336331,495237.440059
2025-02-11,A,82.23532576170008,534862.875429,533994.803865
2025-02-12,A,90.9000014304158,552303.133856,563132.952555
2025-02-13,A,92.2200838799048,633628.284024,613510.178731
2025-02-14,A,85.19799506036018,637384.437034,646470.90929
2025-02-15,A,91.79259551640456,665864.570412,684566.821824
2025-02-16,A,90.7277627161299,699386.46837,708578.222693
2025-02-17,A,92.10334335097376,741153.449131,727999.843515
2025-02-18,A,100.74593977410412,779207.131826,759916.869457
2025-02-19,A,100.19862511333666,812934.041043,812050.747738
